,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
59,22100030,1610612741,Bulls,CHI,Chicago,240:00,35.0,84.0,0.417,11.0,26.0,0.423,16.0,19.0,0.8420000000000001,3.0,39.0,42.0,24.0,13.0,11.0,12.0,17.0,97.0,15.0
60,22100031,1610612740,Pelicans,NOP,New Orleans,240:00,31.0,89.0,0.348,9.0,40.0,0.225,18.0,23.0,0.7829999999999999,21.0,40.0,61.0,15.0,10.0,5.0,28.0,22.0,89.0,-7.0
61,22100031,1610612750,Timberwolves,MIN,Minnesota,240:00,39.0,96.0,0.406,12.0,38.0,0.316,6.0,10.0,0.6,13.0,34.0,47.0,22.0,13.0,8.0,19.0,25.0,96.0,7.0
62,22100032,1610612759,Spurs,SAS,San Antonio,240:00,48.0,99.0,0.485,10.0,39.0,0.256,5.0,6.0,0.833,10.0,28.0,38.0,29.0,10.0,4.0,12.0,18.0,111.0,-10.0
63,22100032,1610612749,Bucks,MIL,Milwaukee,240:00,44.0,83.0,0.53,15.0,35.0,0.429,18.0,22.0,0.818,7.0,37.0,44.0,21.0,6.0,5.0,20.0,15.0,121.0,10.0
64,22100033,1610612757,Trail Blazers,POR,Portland,240:00,51.0,94.0,0.5429999999999999,21.0,50.0,0.42,11.0,17.0,0.647,8.0,40.0,48.0,24.0,8.0,5.0,9.0,15.0,134.0,29.0
65,22100033,1610612756,Suns,PHX,Phoenix,240:00,43.0,89.0,0.483,9.0,28.0,0.321,10.0,15.0,0.667,7.0,31.0,38.0,27.0,6.0,1.0,14.0,19.0,105.0,-29.0
66,22100034,1610612763,Grizzlies,MEM,Memphis,240:00,42.0,90.0,0.467,15.0,36.0,0.417,21.0,25.0,0.84,13.0,35.0,48.0,26.0,5.0,3.0,11.0,19.0,120.0,6.0
67,22100034,1610612746,Clippers,LAC,LA,240:00,43.0,99.0,0.434,13.0,39.0,0.333,15.0,17.0,0.882,14.0,30.0,44.0,23.0,7.0,4.0,7.0,21.0,114.0,-6.0
68,22100035,1610612766,Hornets,CHA,Charlotte,240:00,43.0,94.0,0.457,10.0,30.0,0.333,15.0,19.0,0.789,10.0,38.0,48.0,26.0,10.0,5.0,12.0,17.0,111.0,16.0
69,22100035,1610612751,Nets,BKN,Brooklyn,240:00,38.0,87.0,0.4370000000000001,9.0,35.0,0.257,10.0,12.0,0.833,9.0,35.0,44.0,18.0,10.0,8.0,17.0,19.0,95.0,-16.0
70,22100036,1610612753,Magic,ORL,Orlando,240:00,36.0,88.0,0.409,12.0,43.0,0.279,26.0,34.0,0.765,10.0,47.0,57.0,22.0,7.0,4.0,13.0,25.0,110.0,6.0
71,22100036,1610612752,Knicks,NYK,New York,240:00,37.0,100.0,0.37,13.0,48.0,0.271,17.0,25.0,0.68,16.0,36.0,52.0,20.0,8.0,8.0,12.0,21.0,104.0,-6.0
72,22100037,1610612745,Rockets,HOU,Houston,240:00,32.0,75.0,0.4270000000000001,14.0,32.0,0.438,19.0,24.0,0.792,5.0,35.0,40.0,20.0,7.0,4.0,18.0,20.0,97.0,-10.0
73,22100037,1610612738,Celtics,BOS,Boston,240:00,38.0,86.0,0.442,15.0,47.0,0.319,16.0,20.0,0.8,6.0,37.0,43.0,22.0,10.0,6.0,11.0,22.0,107.0,10.0
74,22100038,1610612755,76ers,PHI,Philadelphia,240:00,41.0,88.0,0.466,17.0,41.0,0.415,16.0,20.0,0.8,12.0,35.0,47.0,25.0,4.0,9.0,12.0,17.0,115.0,12.0
75,22100038,1610612760,Thunder,OKC,Oklahoma City,240:00,40.0,84.0,0.476,8.0,31.0,0.258,15.0,19.0,0.789,6.0,36.0,42.0,24.0,9.0,4.0,11.0,17.0,103.0,-12.0
76,22100039,1610612758,Kings,SAC,Sacramento,240:00,42.0,86.0,0.488,15.0,46.0,0.326,8.0,13.0,0.615,10.0,37.0,47.0,26.0,0.0,4.0,19.0,16.0,107.0,-12.0
77,22100039,1610612744,Warriors,GSW,Golden State,240:00,43.0,97.0,0.443,13.0,37.0,0.35100000000000003,20.0,24.0,0.833,14.0,29.0,43.0,26.0,12.0,3.0,6.0,13.0,119.0,12.0
78,22100040,1610612763,Grizzlies,MEM,Memphis,240:00,45.0,100.0,0.45,13.0,35.0,0.371,15.0,18.0,0.833,18.0,31.0,49.0,25.0,13.0,4.0,17.0,20.0,118.0,-3.0
79,22100040,1610612747,Lakers,LAL,Los Angeles,240:00,45.0,84.0,0.536,16.0,30.0,0.5329999999999999,15.0,22.0,0.682,9.0,27.0,36.0,29.0,10.0,12.0,17.0,14.0,121.0,3.0
80,22100041,1610612766,Hornets,CHA,Charlotte,265:00,46.0,103.0,0.447,19.0,44.0,0.4320000000000001,18.0,28.0,0.643,14.0,38.0,52.0,26.0,4.0,6.0,14.0,25.0,129.0,-11.0
81,22100041,1610612738,Celtics,BOS,Boston,265:00,50.0,101.0,0.495,19.0,50.0,0.38,21.0,25.0,0.84,11.0,42.0,53.0,33.0,8.0,9.0,12.0,23.0,140.0,11.0
